Device,Phase Reward,Recyclable Score,CO2 Emission Saved,Other Savings,CPU,Memory,Battery,Display,Keyboard,Plastics,Metals,Copper,Aluminum,Gold,Silver,Lead,Tin,Nickel,Zinc
Laptop,53.84,1,0.13,14.67,36.0,33.0,15.0,27.0,39.0,36,19.0,3.8,0.0,0.0,0.0,3.7,0.0,3.64,2.06
Smartwatch,55.36,1,1.21,12.55,49.0,28.0,41.0,45.0,,33,,2.88,0.36,0.0,2.36,0.0,0.0,0.0,0.0
Camera,67.7,0,1.09,9.94,,28.0,,13.0,,40,46.0,4.15,4.64,0.05,2.0,0.53,2.98,0.0,2.57
Mobile,46.63,1,8.16,7.48,34.0,38.0,15.0,26.0,,27,26.0,0.0,3.41,1.03,0.0,3.61,0.0,0.0,3.48
Set-top Box,52.4,0,1.12,8.69,26.0,25.0,,,,44,49.0,4.25,1.21,4.76,0.0,3.08,2.57,3.04,2.98
Washing Machine,64.34,0,8.01,3.09,,,,,,30,32.0,0.0,4.32,0.11,0.0,4.56,0.0,0.0,4.97
UPS,35.44,0,2.48,4.37,,,45.0,,,30,30.0,2.36,0.0,1.57,3.22,0.0,2.34,4.62,4.06
Mobile,44.88,0,5.12,6.35,15.0,35.0,14.0,32.0,,12,26.0,0.0,0.28,0.77,4.04,4.51,2.07,2.25,1.83
Hard Drive,74.11,1,5.17,5.43,,40.0,,,,17,15.0,0.0,2.73,3.85,4.72,1.44,1.76,0.11,0.91
Router,58.02,1,3.27,4.11,29.0,39.0,,,,40,22.0,1.72,4.58,1.37,2.38,3.59,0.0,0.0,0.16
Modem,32.0,0,8.49,6.72,34.0,31.0,,,,25,43.0,4.81,1.02,3.86,0.0,1.53,0.0,1.84,0.0
Accessories,39.37,1,5.66,12.23,,,,,,43,46.0,0.0,4.91,3.81,1.64,3.98,2.38,1.86,3.04
Accessories,52.4,1,6.91,11.61,,,,,,23,36.0,1.42,0.0,0.0,0.0,3.73,1.52,0.0,3.04
Modem,62.05,0,8.4,1.58,37.0,31.0,,,,43,33.0,0.0,0.0,0.0,1.46,1.07,0.0,0.0,0.0
Server,32.65,0,8.76,6.86,31.0,50.0,,,,45,25.0,1.55,0.51,0.0,3.16,4.71,0.4,0.98,0.77
Monitor,44.27,1,0.18,9.41,,,,41.0,,31,38.0,2.2,0.0,0.0,1.79,2.85,0.01,1.05,3.89
Other,58.23,1,3.41,9.38,,,,,,43,48.0,0.32,4.28,4.75,0.0,0.0,0.0,0.13,0.0
Refrigerator,93.37,1,8.7,3.97,,,,,,48,43.0,0.52,1.86,2.05,2.23,4.24,4.11,0.32,0.0
Smartwatch,28.72,0,0.92,10.7,33.0,35.0,46.0,25.0,,47,,0.78,1.5,1.23,0.76,3.5,3.67,3.9,1.5
Laptop,48.77,1,2.3,9.19,12.0,16.0,22.0,50.0,38.0,21,29.0,2.15,0.0,3.12,3.0,4.42,4.11,4.13,0.0
Hard Drive,26.66,1,9.31,12.62,,12.0,,,,45,17.0,2.01,0.0,0.0,2.85,0.0,0.06,4.41,0.0
Coffee Machine,21.31,1,3.32,0.8,,,,,,44,40.0,2.95,0.0,1.69,1.67,4.39,0.0,1.43,4.24
Smartwatch,51.79,0,7.46,1.66,11.0,27.0,14.0,32.0,,49,,1.46,0.0,4.03,0.0,2.21,1.69,4.55,3.06
Desktop,38.84,0,6.13,8.93,43.0,31.0,,,11.0,47,19.0,3.89,0.0,0.84,3.61,0.83,0.65,0.0,3.61
Projector,24.53,0,3.35,12.69,,,,38.0,,11,27.0,2.9,0.0,0.0,0.0,4.42,1.54,0.0,0.67
Projector,34.07,0,6.81,0.12,,,,29.0,,12,29.0,0.0,4.85,4.03,4.24,0.18,3.0,0.0,0.64
Tablet,45.49,1,7.32,14.03,26.0,33.0,14.0,11.0,,11,21.0,0.0,3.36,0.0,0.11,0.0,3.87,0.94,1.84
Laptop,26.86,1,3.4,10.84,25.0,27.0,35.0,22.0,23.0,15,24.0,1.46,0.24,0.0,2.9,4.01,2.94,3.66,4.34
Game Console,39.41,0,1.41,10.36,41.0,28.0,,45.0,,24,33.0,4.97,2.44,4.16,0.0,3.66,1.85,3.18,0.0
Set-top Box,21.72,1,4.19,5.4,44.0,47.0,,,,31,29.0,3.36,2.8,0.0,2.14,2.96,2.58,0.0,1.59
Washing Machine,37.91,1,7.84,10.76,,,,,,23,50.0,2.86,0.0,0.0,1.83,3.26,1.7,0.0,0.0
Scanner,86.89,1,4.81,5.73,,,,21.0,,17,14.0,0.0,0.0,0.0,4.22,3.15,0.0,2.95,0.0
Monitor,80.61,0,3.38,12.36,,,,13.0,,44,32.0,1.93,4.26,0.0,4.64,4.82,2.73,4.88,0.0
Printer,56.08,0,3.5,10.59,,15.0,,,30.0,22,40.0,0.0,0.63,1.76,5.0,0.0,2.07,4.52,4.95
Microwave,28.25,0,5.66,11.91,,,,,,42,33.0,0.0,0.0,0.0,1.65,2.23,0.0,0.0,0.0
Set-top Box,33.91,0,8.71,10.86,27.0,23.0,,,,19,24.0,3.91,1.1,2.99,0.0,0.0,0.4,0.0,4.55
Fax Machine,23.95,1,1.26,13.47,,,,25.0,44.0,29,49.0,4.72,0.04,1.93,4.03,0.0,1.52,4.62,1.68
Fax Machine,47.89,1,4.06,12.89,,,,43.0,36.0,45,28.0,1.76,3.15,0.0,0.0,0.0,0.0,3.83,0.0
Game Console,41.54,0,1.51,7.06,25.0,39.0,,46.0,,11,20.0,0.6,0.38,3.91,0.0,2.29,0.11,1.71,0.0
Hard Drive,24.23,0,3.22,1.26,,20.0,,,,48,37.0,3.99,0.0,1.58,2.74,4.92,0.87,1.47,3.74
Printer,98.31,0,7.76,13.64,,20.0,,,32.0,40,48.0,0.86,0.0,0.0,1.15,0.45,2.46,0.0,0.0
Mobile,49.17,1,3.35,10.09,36.0,16.0,13.0,16.0,,27,29.0,0.0,1.56,4.99,2.58,0.0,4.92,0.14,0.0
Router,72.04,1,7.36,1.8,25.0,26.0,,,,38,22.0,1.29,2.36,2.91,2.46,0.82,4.16,3.83,4.02
Desktop,35.52,1,7.13,9.31,46.0,18.0,,,32.0,27,15.0,4.2,1.96,3.39,0.0,1.54,4.24,0.0,2.31
UPS,59.56,1,6.1,6.54,,,49.0,,,12,10.0,0.0,1.34,0.0,0.72,1.67,0.0,4.54,3.35
Scanner,26.78,1,5.31,9.32,,,,21.0,,17,32.0,3.13,3.41,0.0,0.0,4.13,0.24,1.14,1.4
Fax Machine,58.14,0,9.27,2.99,,,,43.0,33.0,45,15.0,0.86,3.83,0.0,0.0,4.06,1.08,3.31,1.94
Mobile,28.39,1,1.18,2.98,36.0,45.0,45.0,39.0,,25,19.0,2.94,0.53,0.0,0.46,4.79,4.69,4.32,0.0
Modem,34.42,0,9.64,4.56,44.0,25.0,,,,35,27.0,1.92,1.14,1.36,0.0,2.84,0.0,2.2,0.0
Modem,71.68,0,0.34,13.97,22.0,22.0,,,,49,46.0,0.0,1.67,0.0,2.94,1.89,1.11,2.19,0.0
Air Conditioner,66.38,0,1.73,2.52,,,,,,15,34.0,0.27,3.03,0.0,0.0,0.0,0.0,0.0,2.16
Game Console,71.46,1,7.27,0.74,27.0,10.0,,43.0,,14,10.0,3.85,2.05,1.38,0.0,3.34,1.12,4.94,3.16
Washing Machine,49.35,1,3.88,11.48,,,,,,19,18.0,0.0,1.96,3.26,2.7,0.0,2.92,4.77,2.54
Washing Machine,50.45,0,5.82,13.58,,,,,,32,24.0,1.94,4.78,4.54,0.9,2.53,0.52,4.71,0.0
Laptop,77.43,0,3.61,14.89,46.0,34.0,34.0,46.0,36.0,29,46.0,0.0,0.0,0.0,0.22,0.0,0.0,0.59,3.22
Projector,67.9,1,1.08,13.53,,,,20.0,,39,48.0,1.28,2.15,0.23,4.86,3.8,2.27,2.15,0.0
Mobile,30.36,1,9.97,0.11,35.0,29.0,46.0,37.0,,40,12.0,1.28,0.0,2.5,1.1,1.98,4.4,4.65,4.33
Tablet,26.29,0,9.39,3.45,14.0,31.0,27.0,47.0,,42,39.0,3.6,0.0,1.44,0.04,2.29,4.09,3.34,0.0
Server,72.57,0,6.71,4.5,42.0,44.0,,,,34,23.0,0.49,0.0,1.4,1.57,0.0,3.16,2.26,3.5
Mobile,24.3,1,9.88,8.99,46.0,28.0,40.0,21.0,,32,38.0,4.74,3.98,1.7,0.0,2.27,3.74,0.0,3.87
Smartwatch,55.89,1,3.4,3.32,40.0,40.0,31.0,27.0,,46,,1.66,0.0,4.45,0.1,0.0,3.74,0.0,2.21
Accessories,26.08,1,1.63,7.11,,,,,,33,20.0,1.53,2.45,1.37,0.0,0.0,0.17,0.0,3.5
Smartwatch,91.45,0,8.61,10.92,36.0,25.0,17.0,16.0,,11,,0.92,0.0,0.62,1.55,4.54,2.52,3.75,1.98
Fax Machine,38.83,0,6.5,9.15,,,,15.0,40.0,36,12.0,0.0,0.87,0.1,2.33,1.94,4.69,0.82,1.51
Desktop,39.58,0,3.52,12.86,48.0,28.0,,,21.0,39,47.0,0.0,0.0,3.09,0.0,3.37,1.22,0.02,4.37
Coffee Machine,66.63,0,3.03,11.38,,,,,,49,21.0,4.48,3.09,1.75,4.78,0.0,2.29,0.0,1.9
Printer,23.91,0,4.55,12.73,,44.0,,,40.0,44,28.0,4.37,0.0,3.89,0.28,0.0,2.83,1.32,1.05
Coffee Machine,57.88,1,3.13,0.72,,,,,,25,41.0,4.96,0.93,1.39,2.65,4.28,0.08,4.23,4.52
Router,64.72,1,6.87,4.37,15.0,21.0,,,,31,34.0,0.38,3.28,0.01,2.26,0.0,0.0,4.41,3.68
Printer,59.2,1,9.64,1.95,,37.0,,,12.0,35,41.0,0.24,0.0,0.0,3.7,0.63,4.5,0.0,3.16
Washing Machine,51.87,0,6.89,13.55,,,,,,45,10.0,0.48,0.0,0.95,1.64,0.0,3.86,0.0,4.82
Modem,27.33,0,2.95,13.24,45.0,17.0,,,,34,21.0,0.0,0.75,4.82,0.16,0.0,1.65,1.88,0.0
Washing Machine,30.86,0,0.44,8.66,,,,,,33,16.0,0.0,1.65,4.49,3.11,1.46,0.01,0.52,3.13
Game Console,86.22,1,5.01,8.08,25.0,46.0,,49.0,,32,32.0,0.0,3.94,1.28,4.85,4.24,3.09,0.0,0.0
Washing Machine,46.36,1,1.96,11.66,,,,,,26,30.0,3.06,3.35,1.61,2.73,0.46,0.0,0.0,3.51
Refrigerator,77.01,1,2.15,13.22,,,,,,33,20.0,0.59,2.88,2.97,0.0,0.12,0.0,1.87,4.08
Washing Machine,86.81,0,2.23,10.39,,,,,,24,26.0,0.49,2.27,4.2,4.18,0.08,4.43,0.0,0.0
Refrigerator,60.05,1,8.66,3.33,,,,,,36,32.0,0.0,0.0,1.04,0.0,2.84,4.65,0.77,0.0
Smartwatch,22.5,0,9.75,1.05,35.0,19.0,18.0,28.0,,13,,0.0,0.0,1.13,2.9,0.0,3.47,4.1,0.0
Coffee Machine,57.59,1,8.55,9.12,,,,,,38,10.0,0.71,0.0,0.0,0.52,0.0,2.44,0.0,3.56
Modem,78.85,0,0.03,12.21,47.0,34.0,,,,49,44.0,2.43,0.0,0.0,4.77,0.0,0.32,3.69,3.23
Fax Machine,79.52,0,1.07,3.05,,,,12.0,32.0,35,13.0,1.51,2.06,1.94,0.96,2.52,0.0,0.0,0.0
Mobile,46.42,0,8.01,4.52,47.0,49.0,36.0,13.0,,50,42.0,4.75,0.04,3.78,4.39,3.83,0.0,0.0,0.0
Monitor,97.83,1,9.71,9.02,,,,23.0,,22,24.0,0.0,4.56,3.15,0.36,3.59,0.0,0.0,4.92
Set-top Box,41.63,1,1.63,12.07,39.0,20.0,,,,34,42.0,3.48,0.0,3.54,0.0,1.56,3.37,0.37,4.86
Coffee Machine,78.99,0,5.83,0.75,,,,,,29,17.0,0.0,0.0,0.37,4.88,0.0,4.06,2.68,0.03
Camera,68.45,0,1.03,6.75,,31.0,,41.0,,18,39.0,4.46,1.46,4.0,0.0,0.67,2.18,0.0,0.0
Camera,89.47,0,3.0,7.33,,36.0,,28.0,,34,47.0,1.31,0.92,3.76,0.0,1.75,0.0,1.61,1.93
Washing Machine,49.53,1,5.97,2.48,,,,,,32,44.0,0.0,0.55,0.0,0.0,1.28,3.44,0.0,4.22
Air Conditioner,98.4,0,3.74,2.46,,,,,,31,10.0,1.74,0.2,1.7,2.37,0.0,3.93,0.0,0.0
Printer,31.33,1,9.88,2.61,,41.0,,,23.0,32,18.0,1.61,1.88,2.72,0.88,1.67,0.0,3.5,4.69
Washing Machine,41.17,0,2.09,12.38,,,,,,48,47.0,0.04,2.04,0.0,0.92,1.84,0.5,1.15,3.56
Monitor,60.04,1,3.12,13.95,,,,43.0,,13,42.0,3.06,3.45,4.74,0.0,4.37,0.0,1.88,0.67
Projector,38.51,0,9.45,3.84,,,,39.0,,42,44.0,2.97,4.61,3.46,4.49,1.64,0.0,3.42,0.86
Hard Drive,38.73,1,5.32,8.25,,26.0,,,,49,21.0,4.33,2.13,3.74,0.0,3.01,4.45,1.01,0.0
Refrigerator,83.82,1,9.57,0.96,,,,,,38,19.0,1.4,2.55,0.0,0.0,0.0,0.0,4.63,0.8
Fax Machine,80.85,0,1.87,3.51,,,,20.0,33.0,17,32.0,0.27,2.76,4.67,0.0,4.99,0.65,0.0,0.0
Game Console,83.39,0,7.8,5.1,49.0,45.0,,27.0,,42,24.0,0.0,3.07,2.74,2.64,0.0,2.98,1.62,0.0
Monitor,66.17,1,3.15,5.56,,,,23.0,,43,44.0,1.47,0.91,0.0,0.0,1.29,2.05,2.67,1.07
Projector,75.1,1,8.85,1.82,,,,40.0,,17,37.0,0.0,0.0,2.62,1.62,3.62,2.6,1.13,0.0
Camera,36.28,0,5.28,6.42,,40.0,,43.0,,43,27.0,0.0,3.84,2.32,4.59,1.26,0.55,2.28,0.0
Printer,53.47,1,6.68,2.99,,36.0,,,38.0,33,32.0,0.0,1.81,2.33,2.86,1.7,2.34,0.02,0.32
Smartwatch,86.45,1,9.06,3.49,12.0,21.0,34.0,39.0,,14,,0.0,0.0,1.72,0.0,2.58,1.14,3.68,4.05
Tablet,69.68,0,0.22,10.86,47.0,18.0,50.0,17.0,,33,50.0,2.73,0.0,0.92,3.1,0.36,2.59,3.58,3.96
Microwave,38.28,1,1.05,2.57,,,,,,40,26.0,0.0,3.77,0.0,4.31,3.02,0.0,0.15,0.07
Washing Machine,29.92,1,8.73,0.23,,,,,,34,30.0,3.86,0.34,0.0,3.59,3.47,0.0,3.63,0.01
Microwave,20.77,1,9.28,5.43,,,,,,29,27.0,0.0,2.87,3.87,0.0,1.25,1.52,0.0,0.0
Laptop,31.21,1,3.32,7.26,22.0,25.0,20.0,23.0,20.0,32,43.0,3.74,0.87,3.34,0.69,0.0,4.2,2.86,4.56
Washing Machine,66.05,0,2.99,1.01,,,,,,21,41.0,2.88,0.0,1.35,0.54,3.51,0.0,0.0,2.32
Camera,21.26,0,8.41,1.72,,23.0,,31.0,,20,43.0,2.67,2.09,3.2,0.0,0.0,0.0,0.0,2.88
Router,92.0,0,6.93,3.54,27.0,27.0,,,,30,20.0,4.0,2.8,2.22,0.01,1.61,1.7,0.0,0.0
Printer,41.97,1,3.41,14.14,,34.0,,,42.0,27,24.0,0.76,0.9,0.75,0.28,1.1,3.99,0.0,3.43
Washing Machine,22.55,0,6.71,8.18,,,,,,31,17.0,2.72,3.49,4.32,1.81,3.63,0.15,1.75,0.0
Modem,93.28,0,4.05,12.47,44.0,26.0,,,,14,34.0,4.73,0.0,1.91,0.0,0.0,1.51,0.0,2.69
Smartwatch,47.06,1,0.88,14.48,48.0,11.0,47.0,41.0,,33,,2.61,0.0,1.0,1.02,0.0,2.31,0.0,0.0
Modem,30.77,1,8.26,12.19,46.0,12.0,,,,47,46.0,4.05,2.45,0.18,3.71,0.94,0.0,0.0,0.0
Fax Machine,25.94,1,6.34,10.76,,,,46.0,50.0,15,28.0,0.97,2.67,2.63,0.0,1.89,4.18,2.23,0.0
Other,52.73,0,9.01,7.14,,,,,,44,40.0,3.06,0.7,2.88,2.71,0.61,0.0,1.37,1.29
Router,80.14,0,2.26,7.47,21.0,26.0,,,,39,11.0,4.11,4.85,4.12,4.84,2.47,0.25,2.91,3.4
Camera,92.34,0,9.3,10.81,,44.0,,43.0,,10,47.0,1.9,3.71,2.66,2.04,1.84,0.0,0.0,1.24
Microwave,32.5,1,7.92,8.19,,,,,,46,18.0,3.92,4.09,2.98,0.76,2.07,4.54,0.0,4.94
Mobile,96.18,0,2.88,6.03,22.0,27.0,42.0,33.0,,21,47.0,1.15,0.0,0.64,1.16,0.3,0.05,4.24,4.48
Washing Machine,71.57,0,0.59,1.27,,,,,,47,43.0,0.0,0.22,0.0,1.7,4.79,2.96,2.91,2.11
Projector,85.34,1,1.69,7.08,,,,11.0,,10,22.0,0.0,0.0,2.51,0.0,1.74,0.0,0.31,2.77
Modem,63.83,0,4.69,5.46,25.0,24.0,,,,16,21.0,0.29,0.0,2.91,4.08,1.18,0.51,3.34,0.6
Coffee Machine,87.44,1,0.41,9.35,,,,,,29,41.0,0.0,4.64,4.68,2.58,1.7,2.1,0.75,2.46
Fax Machine,67.76,1,6.49,4.01,,,,29.0,43.0,35,45.0,1.81,4.08,4.04,3.22,1.03,1.06,0.01,4.36
Monitor,37.57,1,2.4,4.33,,,,37.0,,33,25.0,1.6,0.0,1.58,4.69,3.41,2.03,0.0,2.39
Accessories,34.83,1,2.17,15.0,,,,,,26,20.0,3.18,0.0,0.0,2.24,0.0,3.48,2.88,3.78
Printer,75.9,1,1.15,14.51,,47.0,,,15.0,10,28.0,0.0,1.95,1.94,0.0,0.0,0.0,0.0,1.55
Server,72.3,1,2.07,14.47,20.0,11.0,,,,41,24.0,1.81,3.83,3.33,2.09,4.39,3.24,3.25,2.92
Accessories,79.06,1,0.32,1.24,,,,,,40,22.0,0.0,0.4,0.0,0.0,3.84,3.19,1.83,0.0
Television,58.62,0,6.56,3.84,,,,28.0,,12,46.0,3.2,0.81,2.2,0.0,3.38,0.0,3.53,3.81
Desktop,42.21,0,8.24,7.53,32.0,22.0,,,23.0,11,14.0,4.6,0.0,0.49,0.0,0.37,0.0,3.22,1.96
Projector,95.48,1,6.01,4.52,,,,14.0,,39,49.0,0.3,0.0,2.42,0.0,1.28,2.74,0.0,3.06
Set-top Box,46.25,1,6.59,5.38,44.0,11.0,,,,16,31.0,0.0,0.0,4.92,0.0,3.17,4.78,3.61,2.51
Air Conditioner,31.51,1,2.78,3.32,,,,,,34,41.0,2.18,1.93,3.16,2.4,3.26,0.0,0.0,0.0
Router,56.14,1,7.54,8.3,16.0,50.0,,,,40,48.0,0.3,0.0,0.0,0.0,3.72,1.02,0.0,2.88
Television,39.61,1,9.49,14.91,,,,26.0,,27,49.0,1.97,2.01,3.08,4.04,0.0,2.73,1.92,0.0
Coffee Machine,57.47,1,4.57,11.68,,,,,,14,50.0,1.25,1.8,2.61,4.13,0.0,0.95,2.45,0.0
Set-top Box,89.99,0,3.08,12.76,49.0,19.0,,,,22,20.0,0.0,0.0,3.52,2.56,0.42,3.36,0.16,4.05
Monitor,79.93,0,0.76,1.18,,,,27.0,,47,19.0,0.0,0.32,4.85,3.63,0.0,0.0,3.98,2.95
Monitor,24.06,0,1.28,9.74,,,,29.0,,21,18.0,0.0,3.61,4.61,0.0,0.34,0.0,4.06,0.78
Refrigerator,85.42,0,2.71,0.55,,,,,,42,23.0,1.49,0.0,4.0,0.0,0.58,0.0,0.3,4.75
Tablet,69.06,0,3.18,4.57,31.0,18.0,36.0,15.0,,30,26.0,4.88,3.51,1.48,3.62,0.7,2.54,0.0,0.0
Smartwatch,95.83,0,3.58,11.58,42.0,29.0,34.0,34.0,,16,,1.33,0.47,0.04,0.88,3.44,0.0,0.0,0.0
Camera,59.51,0,4.47,6.72,,24.0,,11.0,,31,24.0,2.81,0.0,0.0,1.68,3.93,3.42,0.0,0.0
Game Console,72.59,0,5.18,6.19,10.0,46.0,,21.0,,39,48.0,0.0,4.29,0.0,0.95,0.0,0.0,0.67,3.25
Router,22.91,1,8.06,6.62,21.0,31.0,,,,30,28.0,1.56,0.12,2.55,4.71,1.14,1.48,0.0,2.17
Monitor,60.17,1,6.63,0.74,,,,39.0,,31,14.0,3.97,0.69,3.56,0.0,4.51,0.0,0.31,4.72
UPS,96.56,1,1.75,13.1,,,23.0,,,50,13.0,4.09,4.45,0.0,0.0,0.0,1.03,0.12,1.45
Server,29.34,1,7.42,11.63,27.0,46.0,,,,22,17.0,4.56,3.4,0.0,0.0,4.61,0.0,4.59,0.0
Accessories,68.22,0,9.92,11.93,,,,,,23,13.0,3.78,1.97,0.0,0.11,0.0,0.0,0.76,2.64
Television,57.06,0,3.13,4.09,,,,43.0,,12,49.0,0.54,2.04,0.0,4.5,1.54,0.0,1.85,4.38
Mobile,34.81,0,5.37,11.26,34.0,19.0,19.0,29.0,,50,43.0,0.0,0.0,0.0,2.11,1.82,0.0,0.0,1.98
Refrigerator,79.3,0,0.05,9.44,,,,,,38,25.0,0.95,1.57,4.84,3.98,0.5,0.62,4.94,0.0
Accessories,49.95,1,4.19,3.35,,,,,,50,22.0,2.31,3.8,0.02,1.27,2.98,4.74,0.75,1.92
Refrigerator,57.3,0,2.82,11.88,,,,,,30,26.0,3.32,2.09,0.0,3.18,3.73,3.67,0.47,0.0
Modem,70.19,0,5.46,1.4,36.0,29.0,,,,28,29.0,4.88,4.43,0.0,1.64,3.25,0.0,0.47,0.0
Scanner,42.83,0,0.63,2.66,,,,44.0,,22,39.0,0.0,0.0,4.28,3.85,4.21,1.73,1.1,0.0
Projector,46.12,0,1.58,10.4,,,,37.0,,13,11.0,0.0,3.73,0.79,3.1,2.44,0.0,2.51,0.0
Server,50.51,1,0.44,10.43,13.0,18.0,,,,23,13.0,4.43,0.0,0.0,0.0,0.0,2.6,0.0,0.0
Air Conditioner,71.49,1,4.79,8.3,,,,,,33,25.0,3.26,1.3,2.16,0.0,2.34,3.99,0.42,0.0
Set-top Box,78.41,0,1.44,1.79,28.0,28.0,,,,29,29.0,4.98,0.2,1.0,4.46,0.1,0.0,1.64,0.0
Other,77.13,1,5.32,0.08,,,,,,10,49.0,3.71,2.74,1.13,1.33,2.25,1.82,2.82,0.7
Other,52.56,0,9.43,14.68,,,,,,37,27.0,0.0,4.18,3.49,0.0,0.97,4.35,4.48,3.53
Server,28.79,1,3.68,5.08,13.0,49.0,,,,31,17.0,3.62,4.17,0.92,0.19,0.19,3.61,4.24,3.97
UPS,51.46,1,0.73,11.0,,,32.0,,,24,12.0,0.0,3.16,4.82,0.15,4.45,2.62,0.0,0.2
UPS,54.39,0,1.55,13.05,,,12.0,,,41,45.0,3.0,0.0,0.83,4.13,2.98,0.47,3.81,0.0
Server,40.33,0,4.25,10.28,49.0,21.0,,,,23,45.0,3.39,4.88,4.61,4.56,2.25,1.43,2.32,0.0
Desktop,73.8,0,5.44,12.1,42.0,12.0,,,43.0,27,10.0,0.0,0.0,2.22,0.0,4.16,2.83,0.5,1.53
